                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       1.50 |       1.73 |       1.70 |       1.86 |       2.73 |       2.74 |       2.73 |       2.76 |       2.74 |       2.73 |       2.75 |       2.73 |       2.73 |       2.74 |       2.75 |       2.73
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      33132 |          0 |          0 |          0 |      32979 |          0 |          0 |          0 |      33005 |          0 |          0 |          0 |      32851 |          0 |          0 |          0
  average dram access latency (ns)   |    1636.38 |        inf |        inf |        inf |    1859.00 |        inf |        inf |        inf |    1685.27 |        inf |        inf |        inf |    1597.12 |        inf |        inf |        inf
  average dram queueing delay        |    1582.95 |       0.00 |       0.00 |       0.00 |    1805.57 |       0.00 |       0.00 |       0.00 |    1631.84 |       0.00 |       0.00 |       0.00 |    1543.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00% |      0.00% |      0.00% |     16.00% |      0.00% |      0.00% |      0.00% |     16.00% |      0.00% |      0.00% |      0.00% |     16.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2027 |       2715 |       3161 |       2370 |       1149 |       1220 |        798 |        871 |       1512 |       1994 |       1388 |       1296 |       1340 |       1327 |       1339 |       1040
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6226 |       6184 |       6178 |       6188 |      13637 |      13620 |      13989 |      13992 |      13285 |      12799 |      13467 |      13490 |      13454 |      13468 |      13526 |      13745
