                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
    num accesses                     |       2035 |       1757 |       1763 |       1744 |       1738 |       1738 |       1739 |       1741 |       1738 |       1742 |       1741 |       1741 |       1743 |       1740 |       1743 |       1740 |       1738 |       1737 |       1739 |       1741 |       1742 |       1739 |       1741 |       1741 |       1738 |       1739 |       1738 |       1739 |       1740 |       1741 |       1739 |       1741 |       1738 |       1738 |       1738 |       1741 |       1738 |       1739 |       1738 |       1741 |       1737 |       1736 |       1737 |       1736 |       1736 |       1737 |       1742 |       1738 |       1740 |       1738 |       1741 |       1743 |       1742 |       1739 |       1739 |       1740 |       1739 |       1739 |       1737 |       1738 |       1738 |       1736 |       1738 |       1739
    num misses                       |       1899 |       1696 |       1696 |       1684 |       1681 |       1676 |       1677 |       1677 |       1681 |       1685 |       1686 |       1680 |       1680 |       1677 |       1679 |       1674 |       1673 |       1672 |       1671 |       1673 |       1670 |       1670 |       1674 |       1674 |       1674 |       1683 |       1680 |       1681 |       1678 |       1681 |       1679 |       1680 |       1681 |       1678 |       1681 |       1675 |       1673 |       1674 |       1671 |       1677 |       1675 |       1676 |       1677 |       1674 |       1674 |       1675 |       1678 |       1674 |       1677 |       1678 |       1682 |       1681 |       1680 |       1675 |       1680 |       1680 |       1684 |       1681 |       1672 |       1676 |       1674 |       1679 |       1682 |       1682
    miss rate                        |     93.32% |     96.53% |     96.20% |     96.56% |     96.72% |     96.43% |     96.43% |     96.32% |     96.72% |     96.73% |     96.84% |     96.50% |     96.39% |     96.38% |     96.33% |     96.21% |     96.26% |     96.26% |     96.09% |     96.09% |     95.87% |     96.03% |     96.15% |     96.15% |     96.32% |     96.78% |     96.66% |     96.66% |     96.44% |     96.55% |     96.55% |     96.50% |     96.72% |     96.55% |     96.72% |     96.21% |     96.26% |     96.26% |     96.14% |     96.32% |     96.43% |     96.54% |     96.55% |     96.43% |     96.43% |     96.43% |     96.33% |     96.32% |     96.38% |     96.55% |     96.61% |     96.44% |     96.44% |     96.32% |     96.61% |     96.55% |     96.84% |     96.66% |     96.26% |     96.43% |     96.32% |     96.72% |     96.78% |     96.72%
    mpki                             |       0.88 |       0.83 |       0.83 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.81 |       0.82 |       0.81 |       0.81 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     170685 |     153797 |     154066 |     153969 |     153815 |     153663 |     153813 |     153814 |     153771 |     153911 |     153936 |     153786 |     153921 |     153601 |     153924 |     153750 |     153612 |     153610 |     153762 |     153762 |     153766 |     153737 |     153765 |     153728 |     153588 |     153744 |     153722 |     153714 |     153733 |     153750 |     153711 |     153729 |     153576 |     153702 |     153561 |     153728 |     153552 |     153551 |     153541 |     153711 |     153549 |     153547 |     153544 |     153525 |     153557 |     153529 |     153692 |     153524 |     153669 |     153522 |     153678 |     153678 |     153675 |     153656 |     153486 |     153636 |     153665 |     153633 |     153495 |     153492 |     153622 |     153449 |     153462 |     153481
    num cache misses                 |        457 |        371 |        362 |        332 |        338 |        329 |        331 |        335 |        335 |        349 |        347 |        323 |        344 |        343 |        338 |        333 |        333 |        333 |        338 |        318 |        341 |        327 |        333 |        330 |        332 |        327 |        339 |        320 |        340 |        331 |        329 |        329 |        337 |        332 |        331 |        324 |        340 |        323 |        336 |        333 |        338 |        333 |        341 |        317 |        346 |        326 |        329 |        333 |        337 |        334 |        345 |        325 |        350 |        332 |        334 |        334 |        345 |        342 |        338 |        320 |        349 |        344 |        340 |        333
    miss rate                        |      0.27% |      0.24% |      0.23% |      0.22% |      0.22% |      0.21% |      0.22% |      0.22% |      0.22% |      0.23% |      0.23% |      0.21% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.21% |      0.22% |      0.21% |      0.22% |      0.21% |      0.22% |      0.21% |      0.22% |      0.21% |      0.22% |      0.22% |      0.21% |      0.21% |      0.22% |      0.22% |      0.22% |      0.21% |      0.22% |      0.21% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.21% |      0.23% |      0.21% |      0.21% |      0.22% |      0.22% |      0.22% |      0.22% |      0.21% |      0.23% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.22% |      0.21% |      0.23% |      0.22% |      0.22% |      0.22%
    mpki                             |       0.21 |       0.18 |       0.18 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.17 |       0.16 |       0.17 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.16 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.15 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.16 |       0.17 |       0.16 |       0.16 |       0.16 |       0.17 |       0.17 |       0.16 |       0.16 |       0.17 |       0.17 |       0.17 |       0.16
